,location,size,total_sqft,bath,price
0, Devarachikkanahalli,3.0,1250.0,2.0,44.0
1, Devarachikkanahalli,2.0,1250.0,2.0,40.0
2, Devarachikkanahalli,2.0,1200.0,2.0,83.0
3, Devarachikkanahalli,2.0,1170.0,2.0,40.0
5, Devarachikkanahalli,2.0,947.0,2.0,43.0
6, Devarachikkanahalli,2.0,1130.0,2.0,36.0
8, Devarachikkanahalli,2.0,1230.0,2.0,58.0
10, Devarachikkanahalli,2.0,1116.0,2.0,47.0
11, Devarachikkanahalli,2.0,991.0,2.0,40.0
12, Devarachikkanahalli,3.0,1700.0,3.0,71.0
13,1st Block Jayanagar,4.0,2850.0,4.0,428.0
14,1st Block Jayanagar,3.0,1630.0,3.0,194.0
15,1st Block Jayanagar,3.0,1875.0,2.0,235.0
16,1st Block Jayanagar,3.0,1200.0,2.0,130.0
17,1st Block Jayanagar,2.0,1235.0,2.0,148.0
18,1st Block Jayanagar,4.0,2750.0,4.0,413.0
19,1st Block Jayanagar,4.0,2450.0,4.0,368.0
20,1st Phase JP Nagar,4.0,2825.0,4.0,250.0
22,1st Phase JP Nagar,5.0,1500.0,5.0,85.0
24,1st Phase JP Nagar,3.0,2024.0,3.0,157.0
26,1st Phase JP Nagar,2.0,1394.0,2.0,100.0
27,1st Phase JP Nagar,2.0,1077.0,2.0,93.0
28,1st Phase JP Nagar,2.0,1566.0,2.0,180.0
29,1st Phase JP Nagar,1.0,840.0,2.0,50.0
32,1st Phase JP Nagar,2.0,1180.0,2.0,88.5
33,1st Phase JP Nagar,2.0,1200.0,2.0,86.0
34,1st Phase JP Nagar,2.0,1394.0,2.0,85.0
36,1st Phase JP Nagar,4.0,4550.0,2.0,240.0
37,1st Phase JP Nagar,2.0,1205.0,2.0,85.0
38,1st Phase JP Nagar,4.0,2615.0,5.0,222.0
39,1st Phase JP Nagar,2.0,900.0,2.0,75.0
40,2nd Phase Judicial Layout,3.0,1450.0,2.0,50.75
41,2nd Phase Judicial Layout,2.0,1150.0,2.0,40.25
42,2nd Phase Judicial Layout,3.0,1350.0,2.0,47.25
43,2nd Phase Judicial Layout,3.0,1350.0,2.0,47.25
44,2nd Phase Judicial Layout,2.0,900.0,2.0,41.0
45,2nd Phase Judicial Layout,3.0,1681.0,3.0,69.0
46,2nd Phase Judicial Layout,3.0,1350.0,2.0,47.25
47,2nd Phase Judicial Layout,2.0,1150.0,2.0,40.25
48,2nd Stage Nagarbhavi,4.0,1500.0,4.0,220.0
49,2nd Stage Nagarbhavi,6.0,3000.0,8.0,451.0
50,2nd Stage Nagarbhavi,6.0,2400.0,8.0,450.0
51,2nd Stage Nagarbhavi,4.0,1350.0,4.0,200.0
52,2nd Stage Nagarbhavi,4.0,1200.0,4.0,225.0
53,2nd Stage Nagarbhavi,4.0,1500.0,3.0,230.0
54,5th Block Hbr Layout,2.0,1206.0,2.0,56.0
55,5th Block Hbr Layout,3.0,1270.0,2.0,70.0
56,5th Block Hbr Layout,2.0,1312.0,2.0,69.0
57,5th Block Hbr Layout,2.0,1100.0,2.0,48.0
58,5th Block Hbr Layout,5.0,3600.0,5.0,130.0
59,5th Block Hbr Layout,6.0,5100.0,5.0,300.0
60,5th Phase JP Nagar,2.0,1075.0,2.0,60.0
61,5th Phase JP Nagar,2.0,1150.0,3.0,52.5
62,5th Phase JP Nagar,2.0,1256.0,2.0,62.8
63,5th Phase JP Nagar,2.0,1207.0,2.0,63.0
65,5th Phase JP Nagar,2.0,1440.0,2.0,60.0
67,5th Phase JP Nagar,3.0,1485.0,2.0,67.0
68,5th Phase JP Nagar,5.0,2500.0,5.0,110.0
69,5th Phase JP Nagar,1.0,600.0,1.0,30.0
70,5th Phase JP Nagar,2.0,1390.0,2.0,65.0
71,5th Phase JP Nagar,2.0,1256.0,2.0,62.8
72,5th Phase JP Nagar,2.0,1000.0,2.0,48.0
74,5th Phase JP Nagar,1.0,552.0,1.0,23.5
75,5th Phase JP Nagar,2.0,1200.0,2.0,51.0
76,5th Phase JP Nagar,3.0,1240.0,3.0,60.0
77,5th Phase JP Nagar,3.0,1550.0,3.0,75.0
78,5th Phase JP Nagar,3.0,1485.0,2.0,66.0
